rep,group,setting,accuracy
47,Projection,"$(16,16)$",0.614
47,Shrinkage,"$(0.7,0.7)$",0.606
47,Shrinkage,"$(0.5,0.9)$",0.618
47,Shrinkage,"$(0.9,0.5)$",0.556
48,Iterations,$T=1$,0.664
48,Iterations,$T=3$,0.666
48,Iterations,$T=8$,0.666
48,Projection,"$(8,8)$",0.666
48,Projection,"$(12,12)$",0.666
48,Projection,"$(16,16)$",0.648
48,Shrinkage,"$(0.7,0.7)$",0.666
48,Shrinkage,"$(0.5,0.9)$",0.678
48,Shrinkage,"$(0.9,0.5)$",0.592
49,Iterations,$T=1$,0.624
49,Iterations,$T=3$,0.636
49,Iterations,$T=8$,0.636
49,Projection,"$(8,8)$",0.652
49,Projection,"$(12,12)$",0.636
49,Projection,"$(16,16)$",0.626
49,Shrinkage,"$(0.7,0.7)$",0.636
49,Shrinkage,"$(0.5,0.9)$",0.656
49,Shrinkage,"$(0.9,0.5)$",0.588
