dataset,shots,rep,method,accuracy
Digits,5,24,MPCA,0.862
Digits,5,24,2DLDA,0.862
Digits,5,24,Nearest centroid,0.862
Digits,5,24,Ridge,0.716
Digits,5,24,Shrinkage LDA,0.836
Digits,5,25,L-2DLDA+,0.884
Digits,5,25,DATER-reg,0.862
Digits,5,25,MPCA,0.866
Digits,5,25,2DLDA,0.866
Digits,5,25,Nearest centroid,0.866
Digits,5,25,Ridge,0.7
Digits,5,25,Shrinkage LDA,0.868
Digits,5,26,L-2DLDA+,0.838
Digits,5,26,DATER-reg,0.844
Digits,5,26,MPCA,0.844
Digits,5,26,2DLDA,0.844
Digits,5,26,Nearest centroid,0.844
Digits,5,26,Ridge,0.614
Digits,5,26,Shrinkage LDA,0.816
Digits,5,27,L-2DLDA+,0.886
Digits,5,27,DATER-reg,0.874
Digits,5,27,MPCA,0.868
Digits,5,27,2DLDA,0.868
Digits,5,27,Nearest centroid,0.868
Digits,5,27,Ridge,0.714
Digits,5,27,Shrinkage LDA,0.81
Digits,5,28,L-2DLDA+,0.854
Digits,5,28,DATER-reg,0.86
Digits,5,28,MPCA,0.854
Digits,5,28,2DLDA,0.854
Digits,5,28,Nearest centroid,0.854
Digits,5,28,Ridge,0.776
Digits,5,28,Shrinkage LDA,0.852
Digits,5,29,L-2DLDA+,0.802
Digits,5,29,DATER-reg,0.8
Digits,5,29,MPCA,0.796
Digits,5,29,2DLDA,0.796
Digits,5,29,Nearest centroid,0.796
Digits,5,29,Ridge,0.716
Digits,5,29,Shrinkage LDA,0.806
Digits,5,30,L-2DLDA+,0.852
Digits,5,30,DATER-reg,0.85
Digits,5,30,MPCA,0.84
Digits,5,30,2DLDA,0.84
Digits,5,30,Nearest centroid,0.84
Digits,5,30,Ridge,0.706
Digits,5,30,Shrinkage LDA,0.84
Digits,5,31,L-2DLDA+,0.84
Digits,5,31,DATER-reg,0.846
Digits,5,31,MPCA,0.844
Digits,5,31,2DLDA,0.844
Digits,5,31,Nearest centroid,0.844
Digits,5,31,Ridge,0.71
Digits,5,31,Shrinkage LDA,0.802
Digits,5,32,L-2DLDA+,0.862
Digits,5,32,DATER-reg,0.874
Digits,5,32,MPCA,0.862
Digits,5,32,2DLDA,0.862
Digits,5,32,Nearest centroid,0.862
Digits,5,32,Ridge,0.682
Digits,5,32,Shrinkage LDA,0.846
Digits,5,33,L-2DLDA+,0.846
Digits,5,33,DATER-reg,0.842
Digits,5,33,MPCA,0.848
Digits,5,33,2DLDA,0.848
Digits,5,33,Nearest centroid,0.848
Digits,5,33,Ridge,0.7
Digits,5,33,Shrinkage LDA,0.838
Digits,5,34,L-2DLDA+,0.856
Digits,5,34,DATER-reg,0.826
Digits,5,34,MPCA,0.832
Digits,5,34,2DLDA,0.832
Digits,5,34,Nearest centroid,0.832
Digits,5,34,Ridge,0.606
Digits,5,34,Shrinkage LDA,0.814
Digits,5,35,L-2DLDA+,0.808
Digits,5,35,DATER-reg,0.81
Digits,5,35,MPCA,0.804
Digits,5,35,2DLDA,0.804
Digits,5,35,Nearest centroid,0.804
Digits,5,35,Ridge,0.694
Digits,5,35,Shrinkage LDA,0.838
Digits,5,36,L-2DLDA+,0.824
Digits,5,36,DATER-reg,0.83
Digits,5,36,MPCA,0.826
Digits,5,36,2DLDA,0.826
Digits,5,36,Nearest centroid,0.826
Digits,5,36,Ridge,0.686
Digits,5,36,Shrinkage LDA,0.804
Digits,5,37,L-2DLDA+,0.836
Digits,5,37,DATER-reg,0.822
Digits,5,37,MPCA,0.822
Digits,5,37,2DLDA,0.822
Digits,5,37,Nearest centroid,0.822
Digits,5,37,Ridge,0.718
Digits,5,37,Shrinkage LDA,0.862
Digits,5,38,L-2DLDA+,0.812
Digits,5,38,DATER-reg,0.806
Digits,5,38,MPCA,0.808
Digits,5,38,2DLDA,0.808
Digits,5,38,Nearest centroid,0.808
Digits,5,38,Ridge,0.686
Digits,5,38,Shrinkage LDA,0.814
Digits,5,39,L-2DLDA+,0.848
Digits,5,39,DATER-reg,0.848
Digits,5,39,MPCA,0.848
Digits,5,39,2DLDA,0.848
Digits,5,39,Nearest centroid,0.848
Digits,5,39,Ridge,0.738
Digits,5,39,Shrinkage LDA,0.836
Digits,5,40,L-2DLDA+,0.856
Digits,5,40,DATER-reg,0.856
Digits,5,40,MPCA,0.848
Digits,5,40,2DLDA,0.848
Digits,5,40,Nearest centroid,0.848
Digits,5,40,Ridge,0.744
Digits,5,40,Shrinkage LDA,0.868
Digits,5,41,L-2DLDA+,0.86
Digits,5,41,DATER-reg,0.862
Digits,5,41,MPCA,0.86
Digits,5,41,2DLDA,0.86
Digits,5,41,Nearest centroid,0.86
Digits,5,41,Ridge,0.742
Digits,5,41,Shrinkage LDA,0.834
Digits,5,42,L-2DLDA+,0.79
Digits,5,42,DATER-reg,0.798
Digits,5,42,MPCA,0.79
Digits,5,42,2DLDA,0.79
Digits,5,42,Nearest centroid,0.79
Digits,5,42,Ridge,0.652
Digits,5,42,Shrinkage LDA,0.764
Digits,5,43,L-2DLDA+,0.862
Digits,5,43,DATER-reg,0.858
Digits,5,43,MPCA,0.864
Digits,5,43,2DLDA,0.864
