gap,rep,method,error
2.4,15,2DLDA,0.515625
2.4,16,L-2DLDA,0.49687499999999996
2.4,16,2DLDA,0.48750000000000004
2.4,17,L-2DLDA,0.3125
2.4,17,2DLDA,0.50625
2.4,18,L-2DLDA,0.021874999999999978
2.4,18,2DLDA,0.49375
2.4,19,L-2DLDA,0.125
2.4,19,2DLDA,0.521875
2.4,20,L-2DLDA,0.16874999999999996
2.4,20,2DLDA,0.5
2.4,21,L-2DLDA,0.09999999999999998
2.4,21,2DLDA,0.46562499999999996
2.4,22,L-2DLDA,0.109375
2.4,22,2DLDA,0.490625
2.4,23,L-2DLDA,0.34062499999999996
2.4,23,2DLDA,0.48124999999999996
2.4,24,L-2DLDA,0.171875
2.4,24,2DLDA,0.503125
2.4,25,L-2DLDA,0.27812499999999996
2.4,25,2DLDA,0.521875
2.4,26,L-2DLDA,0.09999999999999998
2.4,26,2DLDA,0.48750000000000004
2.4,27,L-2DLDA,0.13749999999999996
2.4,27,2DLDA,0.45625000000000004
2.4,28,L-2DLDA,0.22187500000000004
2.4,28,2DLDA,0.521875
2.4,29,L-2DLDA,0.08750000000000002
2.4,29,2DLDA,0.525
2.4,30,L-2DLDA,0.22812500000000002
2.4,30,2DLDA,0.49375
2.4,31,L-2DLDA,0.42500000000000004
2.4,31,2DLDA,0.534375
2.4,32,L-2DLDA,0.16874999999999996
2.4,32,2DLDA,0.47187500000000004
2.4,33,L-2DLDA,0.17812499999999998
2.4,33,2DLDA,0.428125
2.4,34,L-2DLDA,0.3125
2.4,34,2DLDA,0.49375
2.4,35,L-2DLDA,0.36875
2.4,35,2DLDA,0.484375
2.4,36,L-2DLDA,0.171875
2.4,36,2DLDA,0.43437499999999996
2.4,37,L-2DLDA,0.31875
2.4,37,2DLDA,0.540625
2.4,38,L-2DLDA,0.09062499999999996
2.4,38,2DLDA,0.478125
2.4,39,L-2DLDA,0.125
2.4,39,2DLDA,0.4625
2.4,40,L-2DLDA,0.012499999999999956
2.4,40,2DLDA,0.484375
2.4,41,L-2DLDA,0.4
2.4,41,2DLDA,0.5125
2.4,42,L-2DLDA,0.39375000000000004
2.4,42,2DLDA,0.53125
2.4,43,L-2DLDA,0.415625
2.4,43,2DLDA,0.48124999999999996
2.4,44,L-2DLDA,0.46562499999999996
2.4,44,2DLDA,0.478125
2.4,45,L-2DLDA,0.534375
2.4,45,2DLDA,0.503125
2.4,46,L-2DLDA,0.06874999999999998
2.4,46,2DLDA,0.48750000000000004
2.4,47,L-2DLDA,0.10624999999999996
2.4,47,2DLDA,0.515625
2.4,48,L-2DLDA,0.521875
2.4,48,2DLDA,0.49375
2.4,49,L-2DLDA,0.0625
2.4,49,2DLDA,0.525
